LocationID, Street, City, District, State, Latitude, Longitude, AccidentHotspot 
88, Hollywood Blvd, Los Angeles, Hollywood, California,34.101558,-118.340944,0
89, Main St, Dallas, Downtown, Texas,32.776665,-96.796989,1
90, Elm St, Austin, Downtown, Texas,30.267153,-97.74306,0
91, Broadway, Nashville, Downtown, Tennessee,36.161451,-86.777212,1
92, Fulton St, New York, Financial District, New York,40.709004,-74.007994,0
93, Royal St, New Orleans, French Quarter, Louisiana,29.9597,-90.064239,1
94, King St, Alexandria, Old Town, Virginia,38.805109,-77.047022,0
95, Westheimer Rd, Houston, Midtown, Texas,29.737259,-95.391342,1
96, Katy Fwy, Houston, Energy Corridor, Texas,29.786884,-95.626789,0
97, 16th St, Denver, Downtown, Colorado,39.744542,-104.98794,1
98, Nash St, Raleigh, Downtown, North Carolina,35.77959,-78.638179,0
99, Boylston St, Boston, Back Bay, Massachusetts,42.349564,-71.081486,1
100, Lombard St, San Francisco, North Beach, California,37.802139,-122.41874,0
